name,batch,industry,location,website_present,website,detail_url,description,description_length,logo,video,team_size,founders,github,score
Roomstorm,Summer 2014,"Consumer, Travel, Leisure and Tourism","Roomstorm Redwood City, CA",True,http://roomstorm.com,https://www.ycombinator.com/companies/roomstorm,Real time B2B hotel room marketplace for various industries…,60,https://bookface-images.s3.amazonaws.com/small_logos/cce01a2f70c807a6306657d37ae4196d8bd4c40d.png,,,,,6
UserGems,Summer 2014,"B2B, Recruiting and Talent",UserGems,True,https://www.usergems.com,https://www.ycombinator.com/companies/usergems,AI-powered sales solution based on your best customers,54,https://bookface-images.s3.amazonaws.com/small_logos/4871a9dcb74ef8a41b1532167a4c54c5ba5b7354.png,,,,,6
Alchemy,Summer 2014,"Industrials, Manufacturing and Robotics","Alchemy Waterloo, ON",True,http://www.alchemynano.com,https://www.ycombinator.com/companies/alchemy,Nanotechnology-enabled coatings for automotive and defence sectors,66,https://bookface-images.s3.amazonaws.com/small_logos/ee0b471ed87568bd4c184883741ed9b8cb5f06ee.png,,,,,6
MTailor,Summer 2014,"Consumer, Apparel and Cosmetics","San Francisco, CA",True,http://mtailor.com,https://www.ycombinator.com/companies/mtailor,Get measured by your phone in under 30 seconds for perfect fitting…,67,https://bookface-images.s3.amazonaws.com/small_logos/ed1836376602c7f94a02b0049a5258986172b1ac.png,,,,,6
Greentoe,Summer 2014,"Consumer, Consumer Electronics","Greentoe New York, NY",True,http://greentoe.com,https://www.ycombinator.com/companies/greentoe,"""Name Your Price"" for products",30,https://bookface-images.s3.amazonaws.com/small_logos/7f1c16c55529fa0942b8febeb4946348437c156d.png,,,,,6
Hyperpad,Summer 2014,"Consumer, Gaming","Hyperpad London, ON",True,http://www.hyperpad.com,https://www.ycombinator.com/companies/hyperpad,"Create, Share, Play Mobile Games on the iPad.",45,https://bookface-images.s3.amazonaws.com/small_logos/80b5a43e38cee5b1611662fd16ed07916cf76e03.png,,,,,6
Flaviar,Summer 2014,"Consumer, Food and Beverage","Flaviar New York, NY",True,https://flaviar.com,https://www.ycombinator.com/companies/flaviar,Try-at-home service for fine spirits,36,https://bookface-images.s3.amazonaws.com/small_logos/df44ec83f5a0301034fd4ddb6aa09c1eee90f3fa.png,,,,,6
OpenCurriculum,Winter 2014,Unspecified,OpenCurriculum,True,https://opencurriculum.org,https://www.ycombinator.com/companies/opencurriculum,Helping K-12 teachers and school administrators build awesome…,62,https://bookface-images.s3.amazonaws.com/small_logos/04fd9eb75663f94c36937a33d5a36579f95693e1.png,,,,,6
MixerBox,Winter 2014,Consumer,MixerBox,True,http://mixerbox.com,https://www.ycombinator.com/companies/mixerbox,AI Super-Apps to Live Easier | The anything anytime superapps…,62,https://bookface-images.s3.amazonaws.com/small_logos/074cd05efbc63f7a13cbb794c1df90f03162dc58.png,,,,,6
GBatteries,Winter 2014,"Industrials, Climate","Ottawa, ON",True,https://www.gbatteries.com,https://www.ycombinator.com/companies/gbatteries,Enabling li-ion batteries to charge ultra fast without compromising…,68,https://bookface-images.s3.amazonaws.com/small_logos/79847364e215c69a3ff37ac2ae702dfa827a647b.png,,,,,6
Zinc,Winter 2014,"B2B, Retail","Zinc San Francisco, CA",True,http://zinc.com,https://www.ycombinator.com/companies/zinc,The secret backbone of e-commerce.,34,https://bookface-images.s3.amazonaws.com/small_logos/9e768d3f8a03bbe8bb43ac408c234667e84c0db6.png,,,,,6
Zidisha,Winter 2014,"Fintech, Credit and Lending","Zidisha Sterling, VA",True,http://zidisha.org,https://www.ycombinator.com/companies/zidisha,Direct P2P lending across the international wealth divide.,58,https://bookface-images.s3.amazonaws.com/small_logos/2235e108f443f2f51f89eaa9dbc94cb68d765e51.png,,,,,6
Shoobs,Winter 2014,"Consumer, Travel, Leisure and Tourism",Shoobs London,True,http://shoobs.com,https://www.ycombinator.com/companies/shoobs,We help you find and book tickets to great entertainment events that…,69,https://bookface-images.s3.amazonaws.com/small_logos/dda940094cc649edf58b04dda7792493eccc4179.png,,,,,6
Pushbullet,Winter 2014,"Consumer, Home and Personal","Pushbullet San Francisco, CA",True,https://www.pushbullet.com,https://www.ycombinator.com/companies/pushbullet,Push things to your other things.,33,https://bookface-images.s3.amazonaws.com/small_logos/5851e5656bbd2bdef010bd1269d6252d9748475b.png,,,,,6
Emailio,Winter 2014,"B2B, Productivity",Emailio Remote,True,http://emailio.com,https://www.ycombinator.com/companies/emailio,Email built for wellness,24,https://bookface-images.s3.amazonaws.com/small_logos/f782f3d1b55afea0d827dcd48c4e76f570dc36c1.png,,,,,6
AirHelp,Winter 2014,"Consumer, Travel, Leisure and Tourism",AirHelp,True,http://www.airhelp.com,https://www.ycombinator.com/companies/airhelp,"AirHelp helps air passengers get compensation for delayed, cancelled…",69,https://bookface-images.s3.amazonaws.com/small_logos/4e0dee02b88310ef4536fac2221c79633010d047.png,,,,,6
42,Winter 2014,"B2B, Retail","San Francisco, CA",True,https://42technologies.com,https://www.ycombinator.com/companies/42,Analytics stack for omnichannel retailers and brands,52,https://bookface-images.s3.amazonaws.com/small_logos/15d37a451e4069a0883fa02ca7839c2bdcf32a99.png,,,,,6
Experiment,Winter 2013,"Healthcare, Healthcare Services","Experiment Honolulu, HI",True,http://experiment.com,https://www.ycombinator.com/companies/experiment,crowdfunding platform for science,33,https://bookface-images.s3.amazonaws.com/small_logos/e0f7813d1a9c4de9bd2a7b0b88eaa3447db60df4.png,,,,,6
Etleap,Winter 2013,"B2B, Infrastructure","Etleap San Francisco, CA",True,https://etleap.com,https://www.ycombinator.com/companies/etleap,Etleap is an ETL solution for creating perfect data pipelines.,62,https://bookface-images.s3.amazonaws.com/small_logos/07c9b19241da3d7897596f5f34b6c9baa7c7518e.png,,,,,6
Cheetah,Winter 2013,"B2B, Retail","Cheetah San Francisco, CA",True,http://gocheetah.com,https://www.ycombinator.com/companies/cheetah,"Fastest, easiest, and most affordable way for small business owners…",68,https://bookface-images.s3.amazonaws.com/small_logos/bce697e8c30a87349848e4fe7b038193a706d63b.png,,,,,6
BuildZoom,Winter 2013,"Consumer, Home and Personal",BuildZoom,True,https://www.buildzoom.com,https://www.ycombinator.com/companies/buildzoom,BuildZoom is a better way to remodel. We connect homeowners to the…,67,https://bookface-images.s3.amazonaws.com/small_logos/fa4cae75b1ea33cb97e24469d7bae5435b230e2f.png,,,,,6
CircuitLab,Winter 2013,"B2B, Engineering, Product and Design",CircuitLab,True,https://www.circuitlab.com/,https://www.ycombinator.com/companies/circuitlab,Online circuit simulator and electronic schematic editor.,57,https://bookface-images.s3.amazonaws.com/small_logos/c463a769b2f58faee6f5bc842ce70bb66f0acc66.png,,,,,6
StyleUp,Winter 2013,"Consumer, Apparel and Cosmetics",StyleUp,True,http://thestyleup.com,https://www.ycombinator.com/companies/styleup,"StyleUp brings effortless joy to getting dressed with daily,…",61,https://bookface-images.s3.amazonaws.com/small_logos/0b9e6ef382c45610608bd2bdb72d905cd6a41486.png,,,,,6
Svbtle,Summer 2012,"Consumer, Content","Svbtle San Francisco, CA",True,https://svbtle.com,https://www.ycombinator.com/companies/svbtle,A publishing platform.,22,https://bookface-images.s3.amazonaws.com/small_logos/e95820162990dcc07b2965037e9232015b67bd64.png,,,,,6
Flightfox,Summer 2012,"B2B, Operations","Flightfox Boulder, CO",True,http://flightfox.com,https://www.ycombinator.com/companies/flightfox,"A platform to plan, book and manage global and group travel.",60,https://bookface-images.s3.amazonaws.com/small_logos/61d73a23ca8d3531ce9851a776298327d051ac1d.png,,,,,6
NewsBlur,Summer 2012,"Consumer, Content",NewsBlur,True,https://www.newsblur.com,https://www.ycombinator.com/companies/newsblur,NewsBlur is a personalized news reader,38,https://bookface-images.s3.amazonaws.com/small_logos/43aff3a90c8298d6ec98b40f519b74e71c6a9782.png,,,,,6
OctaveWealth,Summer 2012,"B2B, Human Resources",OctaveWealth,True,https://octavewealth.com,https://www.ycombinator.com/companies/octavewealth,The 401(k) that helps you grow,30,https://bookface-images.s3.amazonaws.com/small_logos/2abf832821e128ddf8c791dbe39699a70dc1adb4.png,,,,,6
Zentail,Summer 2012,"B2B, Supply Chain and Logistics","Zentail Columbia, MD",True,https://zentail.com,https://www.ycombinator.com/companies/zentail,We're making ecommerce simple connecting brands with sales channels,67,https://bookface-images.s3.amazonaws.com/small_logos/3c3eb0d479545e3450db0e386dc8aa5148e22711.png,,,,,6
Buxfer,Winter 2007,"Fintech, Consumer Finance","Buxfer Santa Clara, CA",True,https://www.buxfer.com,https://www.ycombinator.com/companies/buxfer,Buxfer helps you make better spending decisions by making it easy to…,69,https://bookface-images.s3.amazonaws.com/small_logos/3cdaac815b43bc63142ff763d4ba39ec6d9553b9.png,,,,,6
Sarah AI,Winter 2026,"B2B, Operations",Sarah AI,True,https://hellosarah.ai/,https://www.ycombinator.com/companies/sarah-ai,AI Agents for CPG ops,21,https://bookface-images.s3.amazonaws.com/small_logos/b4647b6b688845909431b5190e0671d6b6119ed0.png,,,,,6
Zephyr Fusion,Fall 2025,"Industrials, Energy","Zephyr Fusion San Diego, CA",True,https://www.zephyrfusion.com,https://www.ycombinator.com/companies/zephyr-fusion,Powering tomorrow's industrial revolution in space,50,https://bookface-images.s3.amazonaws.com/small_logos/f3bc97204b0d665ad12d9be818e42b4dccfcd7ba.png,,,,,6
Mayflower,Fall 2025,Government,"Mayflower San Francisco, CA",True,https://mayflowervisa.com,https://www.ycombinator.com/companies/mayflower,AI plug-in that automates HR immigration screening and compliance,65,https://bookface-images.s3.amazonaws.com/small_logos/3ddcb883c95b9e6914fdaf91adac754c2cbcb5b5.png,,,,,6
item,Fall 2025,"B2B, Sales","San Francisco, CA",True,https://item.app,https://www.ycombinator.com/companies/item,The AI-Native CRM that works for you,36,https://bookface-images.s3.amazonaws.com/small_logos/489b44af8e973c25eda472f6d5b28122caeafb54.png,,,,,6
Rivet,Fall 2025,"B2B, Engineering, Product and Design","Rivet San Francisco, CA",True,https://rivet.design/,https://www.ycombinator.com/companies/rivet-design,Rivet helps product designers change software without coding.,61,https://bookface-images.s3.amazonaws.com/small_logos/27852a72a2c3864e7f9b2c7273ec39951f3e8d68.png,,,,,6
Openroll,Fall 2025,B2B,Openroll Stockholm,True,https://www.openroll.com,https://www.ycombinator.com/companies/openroll,The world's first Agentic compensation platform,47,https://bookface-images.s3.amazonaws.com/small_logos/e85636cc8d85e40e183c3547b34d3f05a5aa19c6.png,,,,,6
Fixpoint,Fall 2025,"B2B, Human Resources",Fixpoint Source,True,https://fixpoint.co/,https://www.ycombinator.com/companies/fixpoint,Source and manage experts for AI training jobs,46,https://bookface-images.s3.amazonaws.com/small_logos/51f1eaa6d1493780832479f97fca83170e4ebe91.png,,,,,6
Bear,Fall 2025,"B2B, Marketing","Bear San Francisco, CA",True,https://usebear.ai,https://www.ycombinator.com/companies/bear,Market to AI Agents,19,https://bookface-images.s3.amazonaws.com/small_logos/7696654f248acf11e5913502b817690c5caf5763.png,,,,,6
Zarna,Fall 2025,"B2B, Finance and Accounting","Zarna San Francisco, CA",True,http://zarnaai.com,https://www.ycombinator.com/companies/zarna,AI Private Equity Associates,28,https://bookface-images.s3.amazonaws.com/small_logos/d20374e923bd141960c3c8fd2965f8288e95aa58.png,,,,,6
MarkIt,Fall 2025,"B2B, Supply Chain and Logistics",MarkIt,True,https://markittrade.com,https://www.ycombinator.com/companies/markit,AI Agents for Trade Compliance,30,https://bookface-images.s3.amazonaws.com/small_logos/7e5614f0ff0430254c23e0743e5e0490fb5f826c.png,,,,,6
Clicks,Fall 2025,"B2B, Productivity","Clicks San Francisco, CA",True,https://goclicks.ai/,https://www.ycombinator.com/companies/clicks,Computer use agents to automate all back-office work,52,https://bookface-images.s3.amazonaws.com/small_logos/5305c55b4b60ebbe6d4f336c1c814b90415438cb.png,,,,,6
Fastshot,Fall 2025,"B2B, Engineering, Product and Design",Fastshot Lovable,True,http://fastshot.ai?utm_source=yclaunch,https://www.ycombinator.com/companies/fastshot,Lovable for mobile apps,23,https://bookface-images.s3.amazonaws.com/small_logos/bac15cb365c68f8004b888ffdda5946e5ec65b76.png,,,,,6
Claybird,Fall 2025,"B2B, Marketing","Claybird San Francisco, CA",True,https://claybird.com/,https://www.ycombinator.com/companies/claybird,The full-stack AI ad agency,27,https://bookface-images.s3.amazonaws.com/small_logos/9529719c71a2b6a4f16690eb9667a824c2ab4d65.png,,,,,6
LunaBill,Fall 2025,"Healthcare, Healthcare IT",LunaBill,True,https://lunabill.com/,https://www.ycombinator.com/companies/lunabill,AI Voice callers for healthcare billing teams.,46,https://bookface-images.s3.amazonaws.com/small_logos/847fd92cf2043da7d18f115344b4d983d4eccc7c.png,,,,,6
Velvet,Fall 2025,"B2B, Marketing","Velvet San Francisco, CA",True,https://velvet.video,https://www.ycombinator.com/companies/velvet,All-in-one tool for making AI videos,36,https://bookface-images.s3.amazonaws.com/small_logos/3c02ad81894db8e1b1d0e71c379c7cae04211613.png,,,,,6
DiligenceSquared Inc.,Fall 2025,"B2B, Analytics",DiligenceSquared,True,https://diligencesquared.com/,https://www.ycombinator.com/companies/diligencesquared-inc,AI-powered market due diligence for investment decisions,56,https://bookface-images.s3.amazonaws.com/small_logos/e75ae93d8e056556c69cc8d6215f5c6787ea95eb.png,,,,,6
Amera,Fall 2025,"Fintech, Insurance","Amera San Francisco, CA",True,https://amerahealthsolutions.com/,https://www.ycombinator.com/companies/amera,Automating claims processing workflows for health insurance payers.,67,https://bookface-images.s3.amazonaws.com/small_logos/8d11b3366a660003662af3941c9320ee9f871e73.png,,,,,6
Forge Robotics,Fall 2025,"Industrials, Manufacturing and Robotics","Forge Robotics San Francisco, CA",True,https://forge-robotics.com,https://www.ycombinator.com/companies/forge-robotics,A robotics intelligence layer for metal fabrication,51,https://bookface-images.s3.amazonaws.com/small_logos/c02750d438079c212fed98a30cb270db92c521c3.png,,,,,6
Stratus Aviation,Fall 2025,"Industrials, Aviation and Space","Stratus Aviation San Francisco, CA",True,https://getstratus.ai/,https://www.ycombinator.com/companies/stratus-aviation,AI-powered intelligence layer for airports,42,https://bookface-images.s3.amazonaws.com/small_logos/3c0263995ad129e471cb270750ec3dbd054d86ad.png,,,,,6
Bluma,Fall 2025,"B2B, Marketing","Bluma San Francisco, CA",True,https://www.getbluma.com,https://www.ycombinator.com/companies/bluma,Automating Short-Form Video Ads at Scale,40,https://bookface-images.s3.amazonaws.com/small_logos/2fb4b30a87ff49eecaaa2a8e93e689ddecfde446.png,,,,,6
Lightberry,Fall 2025,"Industrials, Manufacturing and Robotics","Lightberry San Francisco, CA",True,https://lightberry.com,https://www.ycombinator.com/companies/lightberry,The social brain for robots.,28,https://bookface-images.s3.amazonaws.com/small_logos/d547e87dd8a95aef15364dc6867d855165863209.png,,,,,6
The Hog,Fall 2025,"B2B, Marketing","The Hog San Francisco, CA",True,https://thehog.ai/,https://www.ycombinator.com/companies/the-hog,Your Go-To-Market Command Center,32,https://bookface-images.s3.amazonaws.com/small_logos/6ba9edbf42a04ad97bf80ea5c1940458e14f3f70.png,,,,,6
Telemetron,Fall 2025,B2B,"Telemetron San Francisco, CA",True,https://www.telemetron.ai/,https://www.ycombinator.com/companies/telemetron-ai,Customer Support Platform Built for Hardware,44,https://bookface-images.s3.amazonaws.com/small_logos/db4f19af21f2acf6ffe0cf95e59e6961ae9e1f89.png,,,,,6
Boom AI,Fall 2025,B2B,Boom AI,True,https://useboom.ai,https://www.ycombinator.com/companies/boom-ai,Your AI growth team for e-commerce brands,41,https://bookface-images.s3.amazonaws.com/small_logos/e240d7b6e048d06c397f1f72707e3cd4fc0ad63d.png,,,,,6
Freeport Markets,Fall 2025,"Fintech, Consumer Finance","Freeport Markets New York, NY",True,https://freeportmarkets.com,https://www.ycombinator.com/companies/freeport-markets,DeFi Prime Brokerage,20,https://bookface-images.s3.amazonaws.com/small_logos/7785e7f2104cbe8c0fd7a9462d42a9b03d5aeb86.png,,,,,6
Miniswap,Fall 2025,"Consumer, Gaming","Miniswap San Francisco, CA",True,https://miniswap.gg/,https://www.ycombinator.com/companies/miniswap,The Marketplace for Tabletop Games,34,https://bookface-images.s3.amazonaws.com/small_logos/19d8cd9731e5b803cf28ada75d13c38049717b0e.png,,,,,6
Rovi Health,Fall 2025,Healthcare,"Rovi Health San Francisco, CA",True,https://rovi.health/,https://www.ycombinator.com/companies/rovi-health,Text-based healthcare that slashes employer health spend,56,https://bookface-images.s3.amazonaws.com/small_logos/854d5ebc9419a8974e7acf5bf13e395923c740a6.png,,,,,6
Castari,Fall 2025,"B2B, Infrastructure","Castari San Francisco, CA",True,https://castari.com,https://www.ycombinator.com/companies/castari,Vercel for AI Agents – Deploy sandboxed agents with MCP tools & skills,70,https://bookface-images.s3.amazonaws.com/small_logos/20c64526d1a467a80b1b85a5386053d1f5a8a444.png,,,,,6
Jarmin,Fall 2025,B2B,"Jarmin San Francisco, CA",True,https://jarmin.ai/,https://www.ycombinator.com/companies/jarmin,24/7 Machine Learning Engineer employees,40,https://bookface-images.s3.amazonaws.com/small_logos/a48984c0a7bc281e9b076876c8d571aaf44c799e.png,,,,,6
Lemma,Fall 2025,"B2B, Engineering, Product and Design","Lemma San Francisco, CA",True,http://uselemma.ai,https://www.ycombinator.com/companies/uselemma,Continuous learning for AI agents,33,https://bookface-images.s3.amazonaws.com/small_logos/c12ccaaa4d43530a4f13abb208362f187f33e86d.png,,,,,6
Mantle,Fall 2025,"B2B, Operations","Mantle San Francisco, CA",True,https://www.mantle.work,https://www.ycombinator.com/companies/mantle,Build internal agents to automate back office work with one prompt,66,https://bookface-images.s3.amazonaws.com/small_logos/29b0a2a5ad266c29913c6cd737b023935ee784ba.png,,,,,6
Karumi,Fall 2025,B2B,"Karumi San Francisco, CA",True,https://www.karumi.ai/,https://www.ycombinator.com/companies/karumi,AI-powered product demos,24,https://bookface-images.s3.amazonaws.com/small_logos/cc73de6be4a68b9b42a71616ee477afce055a351.png,,,,,6
Icarus,Fall 2025,"Industrials, Aviation and Space","Icarus Los Angeles, CA",True,https://www.icarus.one/,https://www.ycombinator.com/companies/icarus,Stratospheric birds for defense,31,https://bookface-images.s3.amazonaws.com/small_logos/641db1cdc907f274cb944fd6796edc486aa6d653.png,,,,,6
Sava,Fall 2025,Fintech,"Sava San Francisco, CA",True,http://savahq.com,https://www.ycombinator.com/companies/savahq,The Agentic Trust Company,25,https://bookface-images.s3.amazonaws.com/small_logos/adc8f9d4d6337ea663afc0947984b8597189cd0a.png,,,,,6
Waffer,Fall 2025,B2B,Waffer Lovable,True,https://waffer.ai,https://www.ycombinator.com/companies/waffer,Lovable for Animated Graphics Videos,36,https://bookface-images.s3.amazonaws.com/small_logos/75057b31da1f157ea0dcbb87bdf889bd2cb7791d.png,,,,,6
Denki,Fall 2025,"B2B, Finance and Accounting","Denki San Francisco, CA",True,https://denki.ai,https://www.ycombinator.com/companies/denki,AI for Auditors at Public Companies,35,https://bookface-images.s3.amazonaws.com/small_logos/a9c79cb57463cbdc422676b0d9eee7efef195b6a.png,,,,,6
Absurd,Fall 2025,"B2B, Marketing","Absurd San Francisco, CA",True,https://tryabsurd.com/,https://www.ycombinator.com/companies/absurd,Absurd AI Video Ads (300K avg views/video on X),47,https://bookface-images.s3.amazonaws.com/small_logos/2a8caed7d0a490086d7e541276710ed25029450f.png,,,,,6
Clad Labs,Fall 2025,Consumer,"Clad Labs San Francisco, CA",True,https://cladlabs.ai,https://www.ycombinator.com/companies/clad-labs,brainrot ide,12,https://bookface-images.s3.amazonaws.com/small_logos/520e314c8c296821e00ad659cebecef2f5a3e76a.png,,,,,6
Automax.ai,Fall 2025,"Real Estate and Construction, Housing and Real Estate","San Francisco, CA",True,https://automax.ai,https://www.ycombinator.com/companies/automax-ai,AI native real-estate appraisal firm,36,https://bookface-images.s3.amazonaws.com/small_logos/f265caa416fd1f57b94ea1289947654c7e9e7877.png,,,,,6
Specific,Fall 2025,"B2B, Engineering, Product and Design","Specific San Francisco, CA",True,https://specific.dev,https://www.ycombinator.com/companies/specific,Platform for building production-ready backends without code,60,https://bookface-images.s3.amazonaws.com/small_logos/5b78cfc7f96ec9c05be6c06823bccd27995a3125.png,,,,,6
Primer,Fall 2025,B2B,"Primer San Francisco, CA",True,https://www.startprimer.com,https://www.ycombinator.com/companies/primer,AI Product Demos,16,https://bookface-images.s3.amazonaws.com/small_logos/dfb9fdd67e9cec23e3f52f42df7e06dd89de9d57.png,,,,,6
Narrative,Fall 2025,"B2B, Infrastructure","Narrative San Francisco, CA",True,https://mailto:founders@usenarrative.ai,https://www.ycombinator.com/companies/usenarrative,The infrastructure for AI video processing,42,https://bookface-images.s3.amazonaws.com/small_logos/a1c937f26cf2f7d07e3a562baef0a61677eff7cb.png,,,,,6
Crunched,Fall 2025,"B2B, Finance and Accounting",Crunched The,True,https://usecrunched.com/,https://www.ycombinator.com/companies/crunched,The first Excel AI analyst built by and for Excel power users,61,https://bookface-images.s3.amazonaws.com/small_logos/386111466c0c67b245d52cdab2fb675d0a73799e.png,,,,,6
Lua Global Inc,Fall 2025,B2B,Lua Global,True,https://heylua.ai/,https://www.ycombinator.com/companies/lua-global-inc,The unified agent platform for mid-market enterprises,53,https://bookface-images.s3.amazonaws.com/small_logos/40655594dbcd381c6c79a9439597f94109447459.png,,,,,6
Spatial AI,Fall 2025,B2B,Spatial AI,True,https://spatial-ai.com/,https://www.ycombinator.com/companies/spatial-ai,Data for robot foundational models,34,https://bookface-images.s3.amazonaws.com/small_logos/785be037c136c1e5c6dd2bccfea6e314c85022e6.png,,,,,6
Zalos,Fall 2025,"B2B, Operations","Zalos San Francisco, CA",True,https://www.zalos.ai/,https://www.ycombinator.com/companies/zalos,"Computer Agents for Finance tasks like reconciliation, in your system!",70,https://bookface-images.s3.amazonaws.com/small_logos/b1456a0cab6aece2240abb581d153d9212c6dd68.png,,,,,6
HireGlide,Fall 2025,"B2B, Recruiting and Talent",HireGlide,True,https://www.hireglide.ai/,https://www.ycombinator.com/companies/hireglide,AI screening and matching for hiring teams,42,https://bookface-images.s3.amazonaws.com/small_logos/f43313bb066e1501a71f08b9bb9435ada83f0e9c.png,,,,,6
Scott AI,Fall 2025,B2B,Scott AI,True,https://tryscott.ai,https://www.ycombinator.com/companies/scott-ai,Agentic Workspace for Software Spec Design,42,https://bookface-images.s3.amazonaws.com/small_logos/e147d1eb5a08ce6e087e44a2f10d637816c7c5db.png,,,,,6
Everest,Fall 2025,B2B,"Everest San Francisco, CA",True,https://everestmanagedai.com/,https://www.ycombinator.com/companies/everest,We build AI support engineers for outsourced IT services (MSPs),63,https://bookface-images.s3.amazonaws.com/small_logos/f72f7790d8bf3b1bd1e22c33c744503ff17f84d0.png,,,,,6
Imagine AI,Fall 2025,"B2B, Sales",Imagine AI,True,https://imagineai.me,https://www.ycombinator.com/companies/imagine-ai,Your AI Clone for B2B Content,29,https://bookface-images.s3.amazonaws.com/small_logos/c7fea0a13d1489e9cf0af037ebeefb78a17652c2.png,,,,,6
Patent Watch,Fall 2025,B2B,"Patent Watch Toronto, ON",True,https://www.patentwatch.ai/,https://www.ycombinator.com/companies/patent-watch,AI for detecting patent infringements,37,https://bookface-images.s3.amazonaws.com/small_logos/5c1d7fe830232f3ad92055c328a9c623fe69050a.png,,,,,6
Tornyol,Fall 2025,"Consumer, Consumer Electronics",Tornyol We,True,https://tornyol.com/,https://www.ycombinator.com/companies/tornyol,We build micro-drones that kill mosquitoes.,43,https://bookface-images.s3.amazonaws.com/small_logos/32e3f0b4a6932eaa071b0b63031b269de4048c47.png,,,,,6
Nucleo,Fall 2025,Healthcare,"Nucleo San Francisco, CA",True,https://nucleoresearch.com/,https://www.ycombinator.com/companies/nucleo,Automated CT scan analysis for oncology care.,45,https://bookface-images.s3.amazonaws.com/small_logos/c489d64c631359b79077be36194f234ac5e83b2c.png,,,,,6
Leadbay,Fall 2025,"B2B, Sales","Leadbay San Francisco, CA",True,https://leadbay.ai/,https://www.ycombinator.com/companies/leadbay,Discover and qualify SMB leads others can’t find.,49,https://bookface-images.s3.amazonaws.com/small_logos/37ac409b36b40159c5b6860f03b4e792466ac32c.png,,,,,6
Pixley AI,Fall 2025,"Consumer, Content",Pixley AI,True,https://pixleyai.com,https://www.ycombinator.com/companies/pixley-ai,The first platform where parents & kids can co-create AI cartoon shows,70,https://bookface-images.s3.amazonaws.com/small_logos/3c23f15ce17b5566bb443e85decbca310887c19c.png,,,,,6
Inspector,Fall 2025,"B2B, Engineering, Product and Design","Inspector San Francisco, CA",True,http://tryinspector.com,https://www.ycombinator.com/companies/inspector,AI-enabled IDE for front-end development,40,https://bookface-images.s3.amazonaws.com/small_logos/3a74c32ba5c193f4216d063ad72608f841e04786.png,,,,,6
Play Health,Fall 2025,"Healthcare, Consumer Health and Wellness","Play Health Boulder, CO",True,http://playhealth.com,https://www.ycombinator.com/companies/play-health,Perimenopause Care Platform,27,https://bookface-images.s3.amazonaws.com/small_logos/29eb0f5753137c426de6bf374fee2c8296e363cb.png,,,,,6
Casey,Fall 2025,"Fintech, Insurance","Casey San Francisco, CA",True,https://meetcasey.ai/,https://www.ycombinator.com/companies/casey,AI agents built to run insurance,32,https://bookface-images.s3.amazonaws.com/small_logos/88a76602e15d6bde1447f1d7066e3a3e3708bea1.png,,,,,6
Selfin,Fall 2025,"Fintech, Consumer Finance","Selfin San Francisco, CA",True,https://selfin.app,https://www.ycombinator.com/companies/selfin,Building the first AI Bank,26,https://bookface-images.s3.amazonaws.com/small_logos/c62fd75050245643921b794ea15f1786d2ee9033.png,,,,,6
Compyle,Fall 2025,"B2B, Engineering, Product and Design","Compyle San Francisco, CA",True,https://compyle.ai,https://www.ycombinator.com/companies/compyle,Lovable for Software Engineers,30,https://bookface-images.s3.amazonaws.com/small_logos/d64e6601db5d659b1726d0d5ea126494391f5f62.png,,,,,6
Lexi,Fall 2025,"B2B, Legal","Lexi San Francisco, CA",True,https://getlexi.io/,https://www.ycombinator.com/companies/lexi,AI Powered Associates,21,https://bookface-images.s3.amazonaws.com/small_logos/eb8c922483150b7ebb7320f8160a0722809b666c.png,,,,,6
Codyco,Fall 2025,B2B,Codyco The AI,True,https://www.codyco.ai/en,https://www.ycombinator.com/companies/codyco,The AI Reservation Team for Hotel Groups,40,https://bookface-images.s3.amazonaws.com/small_logos/3f6ef97ecdc81fb89e8dc020bc91142bcb83a908.png,,,,,6
ComplyDo,Fall 2025,"B2B, Legal",ComplyDo,True,http://complydo.io,https://www.ycombinator.com/companies/complydo,"More Comply, Less Do. Most flexible compliance engine for enterprises.",70,https://bookface-images.s3.amazonaws.com/small_logos/1138acf799ce629450bf7f2fb3d38a36aabb6d93.png,,,,,6
Bravi,Fall 2025,B2B,"Bravi San Francisco, CA",True,https://bravi.app/,https://www.ycombinator.com/companies/bravi,AI Communication hub for home services companies,48,https://bookface-images.s3.amazonaws.com/small_logos/6c135d5c13c34c689bf78aa9a3a87d41b5a66518.png,,,,,6
Rovr,Fall 2025,"B2B, Engineering, Product and Design",Rovr Stealth,True,https://www.withrovr.com/,https://www.ycombinator.com/companies/rovr,Stealth,7,https://bookface-images.s3.amazonaws.com/small_logos/be661dea8f47a3f8abccf2a96eac3ff45c4977d8.png,,,,,6
Sunflower,Fall 2025,Consumer,Sunflower Building,True,https://sunflowersober.com/,https://www.ycombinator.com/companies/sunflower,Building the Sobriety Platform for the future of Superintelligence. 🌻,69,https://bookface-images.s3.amazonaws.com/small_logos/0205358bcacb803d2d20a6f091abad1460fc2bde.png,,,,,6
Captain,Fall 2025,"B2B, Infrastructure","Captain San Francisco, CA",True,https://runcaptain.com,https://www.ycombinator.com/companies/captain,The Reliable Alternative to RAG,31,https://bookface-images.s3.amazonaws.com/small_logos/0c5e5da360891b80b4a1d6d511de963d613bbf08.png,,,,,6
